"city","thehour","Weekday","Journeys"
"aral",14,0,2.45454545454545
"aral",14,1,3.46913580246914
"aral",15,0,4.11764705882353
"aral",15,1,2.65
"aral",16,0,3.66666666666667
"aral",16,1,3.81818181818182
"aral",17,0,8.26086956521739
"aral",17,1,9.08474576271187
"aral",18,0,8.40425531914894
"aral",18,1,9.02521008403361
"aral",19,0,8.18181818181818
"aral",19,1,6.92436974789916
"aral",20,0,6.95652173913043
"aral",20,1,6.38260869565217
"aral",21,0,6.31111111111111
"aral",21,1,6.20168067226891
"aral",22,0,4.8
"aral",22,1,5.78947368421053
"aral",23,0,4.29268292682927
"aral",23,1,4.34234234234234
"aruba",0,0,1.95454545454545
"aruba",0,1,2.75438596491228
"aruba",1,0,2.62962962962963
"aruba",1,1,2.58928571428571
"aruba",2,0,2.83333333333333
"aruba",2,1,2.46428571428571
"aruba",3,0,2.6
"aruba",3,1,2.72222222222222
"aruba",4,0,2.16666666666667
"aruba",4,1,2.26315789473684
"aruba",5,0,2
"aruba",5,1,2.16666666666667
"aruba",6,0,1.33333333333333
"aruba",6,1,1.7
"aruba",7,0,2
"aruba",7,1,3
"aruba",8,0,1.5
"aruba",8,1,1
"aruba",9,1,4
"aruba",10,1,1
"aruba",11,1,2
"aruba",12,0,1
"aruba",14,0,1.14285714285714
"aruba",14,1,2.18181818181818
"aruba",15,0,2.08333333333333
"aruba",15,1,1.95744680851064
"aruba",16,0,2.25
"aruba",16,1,3.60655737704918
"aruba",17,0,2.47826086956522
"aruba",17,1,4.9375
"aruba",18,0,3.24324324324324
"aruba",18,1,3.80232558139535
"aruba",19,0,3.29166666666667
"aruba",19,1,3.21621621621622
"aruba",20,0,2.34782608695652
"aruba",20,1,2.91044776119403
"aruba",21,0,2.31034482758621
"aruba",21,1,2.88461538461538
"aruba",22,0,2.21739130434783
"aruba",22,1,2.8
"aruba",23,0,2.6
"aruba",23,1,2.9344262295082
"aspen",0,0,32.9318181818182
"aspen",0,1,31.2018348623853
"aspen",1,0,30.6363636363636
"aspen",1,1,31.2293577981651
"aspen",2,0,31.5227272727273
"aspen",2,1,31.1284403669725
"aspen",3,0,37.5
"aspen",3,1,35.4351851851852
"aspen",4,0,39.5681818181818
"aspen",4,1,37.0550458715596
"aspen",5,0,39.4318181818182
"aspen",5,1,40.6788990825688
"aspen",6,0,34.9545454545455
"aspen",6,1,36.2477064220183
"aspen",7,0,31
"aspen",7,1,29.5596330275229
"aspen",8,0,22.9302325581395
"aspen",8,1,21.5849056603774
"aspen",9,0,15.093023255814
"aspen",9,1,12.6538461538462
"aspen",10,0,11.3636363636364
"aspen",10,1,9.3495145631068
"aspen",11,0,6.62790697674419
"aspen",11,1,5.07368421052632
"aspen",12,0,4.1025641025641
"aspen",12,1,3.44303797468354
"aspen",13,0,3.60606060606061
"aspen",13,1,2.61538461538462
"aspen",14,0,2.36666666666667
"aspen",14,1,2.13636363636364
"aspen",15,0,1.07692307692308
"aspen",15,1,1.25925925925926
"aspen",16,0,1.2
"aspen",16,1,2.38461538461538
"aspen",17,0,1.47826086956522
"aspen",17,1,2.3956043956044
"aspen",18,0,9.16279069767442
"aspen",18,1,11.037037037037
"aspen",19,0,14.6818181818182
"aspen",19,1,24.4403669724771
"aspen",20,0,22.2888888888889
"aspen",20,1,35.1363636363636
"aspen",21,0,26.9772727272727
"aspen",21,1,31.8348623853211
"aspen",22,0,26.9090909090909
"aspen",22,1,27.2702702702703
"aspen",23,0,29.3181818181818
"aspen",23,1,26.9266055045872
"astana",0,0,70.7894736842105
"astana",0,1,71.5681818181818
"astana",1,0,75.9444444444444
"astana",1,1,91.8181818181818
"astana",2,0,82.6842105263158
"astana",2,1,96.7826086956522
"astana",3,0,79.1764705882353
"astana",3,1,79.75
"astana",4,0,85.2105263157895
"astana",4,1,80.0909090909091
"astana",5,0,93.7647058823529
"astana",5,1,105.911111111111
"astana",6,0,101.368421052632
"astana",6,1,159.826086956522
"astana",7,0,99.9473684210526
"astana",7,1,167.913043478261
"astana",8,0,98.6470588235294
"astana",8,1,128.822222222222
"astana",9,0,82.4210526315789
"astana",9,1,93.2978723404255
"astana",10,0,62.2105263157895
"astana",10,1,67.6458333333333
"astana",11,0,47.4705882352941
"astana",11,1,49.2857142857143
"astana",12,0,38.5263157894737
"astana",12,1,32.0416666666667
"astana",13,0,20.5555555555556
"astana",13,1,25.5744680851064
"astana",14,0,20.9473684210526
"astana",14,1,19.8979591836735
"astana",15,0,10
"astana",15,1,12.8260869565217
"astana",16,0,7.5
"astana",16,1,9.55
"astana",17,0,6
"astana",17,1,6.77083333333333
"astana",18,0,12.625
"astana",18,1,15.4347826086957
"astana",19,0,48.75
"astana",19,1,63.6122448979592
"astana",20,0,86.6875
"astana",20,1,116.297872340426
"astana",21,0,58.7222222222222
"astana",21,1,74.9795918367347
"astana",22,0,54.1666666666667
"astana",22,1,57.1739130434783
"astana",23,0,58.6666666666667
"astana",23,1,60.4081632653061
"atlanta",0,0,30.24
"atlanta",0,1,24.0743801652893
"atlanta",1,0,31.56
"atlanta",1,1,28.0082644628099
"atlanta",2,0,30.54
"atlanta",2,1,27.4214876033058
"atlanta",3,0,30.34
"atlanta",3,1,24.3388429752066
"atlanta",4,0,22.32
"atlanta",4,1,18.1344537815126
"atlanta",5,0,17.92
"atlanta",5,1,11.0833333333333
"atlanta",6,0,11.64
"atlanta",6,1,7.59322033898305
"atlanta",7,0,8.71428571428571
"atlanta",7,1,4.65454545454545
"atlanta",8,0,5.875
"atlanta",8,1,4.5
"atlanta",9,0,4.20833333333333
"atlanta",9,1,2.6875
"atlanta",10,0,3.71739130434783
"atlanta",10,1,2.875
"atlanta",11,0,3.21052631578947
"atlanta",11,1,2.26923076923077
"atlanta",12,0,2.35897435897436
"atlanta",12,1,5.525
"atlanta",13,0,2.72727272727273
"atlanta",13,1,4.42857142857143
"atlanta",14,0,4.64102564102564
"atlanta",14,1,5.03478260869565
"atlanta",15,0,7.53061224489796
"atlanta",15,1,10.9833333333333
"atlanta",16,0,8.34
"atlanta",16,1,14.3636363636364
"atlanta",17,0,15.7
"atlanta",17,1,14.2727272727273
"atlanta",18,0,21.78
"atlanta",18,1,14.6446280991736
"atlanta",19,0,26.7
"atlanta",19,1,16.2231404958678
"atlanta",20,0,32.92
"atlanta",20,1,19.6
"atlanta",21,0,34.42
"atlanta",21,1,22.0081967213115
"atlanta",22,0,39
"atlanta",22,1,19.3770491803279
"atlanta",23,0,37.36
"atlanta",23,1,18.8114754098361
"auckland",0,0,1.83333333333333
"auckland",0,1,2
"auckland",1,0,4
"auckland",1,1,2
"auckland",2,1,2.5
"auckland",3,1,1
"auckland",5,0,1
"auckland",5,1,2
"auckland",6,0,1
"auckland",6,1,1.11904761904762
"auckland",7,0,1.27272727272727
"auckland",7,1,1.55769230769231
"auckland",8,0,1.73913043478261
"auckland",8,1,1.89024390243902
"auckland",9,0,1.66666666666667
"auckland",9,1,1.55882352941176
"auckland",10,0,2.75
"auckland",10,1,1.51724137931034
"auckland",11,0,2.58823529411765
"auckland",11,1,2.14705882352941
"auckland",12,0,2.61111111111111
"auckland",12,1,2.07692307692308
"auckland",13,0,2.05
"auckland",13,1,2.21276595744681
"auckland",14,0,2.21052631578947
"auckland",14,1,2.3
"auckland",15,0,1.8
"auckland",15,1,1.68115942028985
"auckland",16,0,2.58064516129032
"auckland",16,1,2.34
"auckland",17,0,1.80645161290323
"auckland",17,1,1.73972602739726
"auckland",18,0,2.8
"auckland",18,1,1.84615384615385
"auckland",19,0,1.57142857142857
"auckland",19,1,2.83333333333333
"auckland",20,0,1.66666666666667
"auckland",20,1,2.18518518518519
"auckland",21,0,2.11111111111111
"auckland",21,1,2
"auckland",22,0,1.57142857142857
"auckland",22,1,2.125
"auckland",23,0,1.5
"auckland",23,1,2.09090909090909
"augsburg",0,0,1.46153846153846
"augsburg",0,1,1.14814814814815
"augsburg",1,0,1.45454545454545
"augsburg",1,1,1.05882352941176
"augsburg",2,0,1.125
"augsburg",2,1,1.81730769230769
"augsburg",3,0,1.875
"augsburg",3,1,2.74074074074074
"augsburg",4,0,2.16666666666667
"augsburg",4,1,3.0990099009901
"augsburg",5,0,2.25
"augsburg",5,1,2.97727272727273
"augsburg",6,0,2.94736842105263
"augsburg",6,1,3.20618556701031
"augsburg",7,0,3.54761904761905
"augsburg",7,1,3.56730769230769
"augsburg",8,0,4.48780487804878
"augsburg",8,1,3.61224489795918
"augsburg",9,0,3.74418604651163
"augsburg",9,1,3.53333333333333
"augsburg",10,0,4.46153846153846
"augsburg",10,1,3.48148148148148
"augsburg",11,0,3.90243902439024
"augsburg",11,1,4.4344262295082
"augsburg",12,0,3.15
"augsburg",12,1,3.75
"augsburg",13,0,2.85
"augsburg",13,1,3.92436974789916
"augsburg",14,0,2.38461538461538
"augsburg",14,1,4.12396694214876
"augsburg",15,0,3.15151515151515
"augsburg",15,1,2.98076923076923
"augsburg",16,0,2.64285714285714
"augsburg",16,1,2
"augsburg",17,0,2.04545454545455
"augsburg",17,1,1.71830985915493
"augsburg",18,0,2
"augsburg",18,1,1.46666666666667
"augsburg",19,0,1.64705882352941
"augsburg",19,1,1.55555555555556
"augsburg",20,0,2.95652173913043
"augsburg",20,1,1.62962962962963
"augsburg",21,0,1.17647058823529
"augsburg",21,1,1.59615384615385
"augsburg",22,0,2.26666666666667
"augsburg",22,1,1.5
"augsburg",23,0,1.14285714285714
"augsburg",23,1,1.27586206896552
"austin",0,0,84.9807692307692
"austin",0,1,69.2846153846154
"austin",1,0,80.6981132075472
"austin",1,1,70.9769230769231
"austin",2,0,72.811320754717
"austin",2,1,72.0153846153846
"austin",3,0,73.622641509434
"austin",3,1,77.7461538461538
"austin",4,0,67.2452830188679
"austin",4,1,74.9923076923077
"austin",5,0,65.8301886792453
"austin",5,1,66.8076923076923
"austin",6,0,54.8867924528302
"austin",6,1,55.9
"austin",7,0,44.4528301886792
"austin",7,1,46.1705426356589
"austin",8,0,38.9622641509434
"austin",8,1,37.1472868217054
"austin",9,0,31.6792452830189
"austin",9,1,27.3643410852713
"austin",10,0,19.8867924528302
"austin",10,1,14.1171875
"austin",11,0,21.3018867924528
"austin",11,1,12.8253968253968
"austin",12,0,18.4528301886792
"austin",12,1,9.16071428571429
"austin",13,0,8.06122448979592
"austin",13,1,5.96907216494845
"austin",14,0,4
"austin",14,1,3.54651162790698
"austin",15,0,3.44444444444444
"austin",15,1,5.16153846153846
"austin",16,0,3.06521739130435
"austin",16,1,10.1162790697674
"austin",17,0,6.90384615384615
"austin",17,1,28.3769230769231
"austin",18,0,15.6730769230769
"austin",18,1,60.2
"austin",19,0,29.9622641509434
"austin",19,1,63.4
"austin",20,0,51.0754716981132
"austin",20,1,66.5846153846154
"austin",21,0,69.8679245283019
"austin",21,1,71.1230769230769
"austin",22,0,80.0943396226415
"austin",22,1,77.2
"austin",23,0,79.3584905660377
"austin",23,1,73.9307692307692
"avignon",0,0,1.41666666666667
"avignon",0,1,1.35294117647059
"avignon",1,0,1.4
"avignon",1,1,1.29411764705882
"avignon",2,0,1.82758620689655
"avignon",2,1,1.58510638297872
"avignon",3,0,1.67567567567568
"avignon",3,1,5.29032258064516
"avignon",4,0,2.58695652173913
"avignon",4,1,13.3307692307692
"avignon",5,0,5.5
"avignon",5,1,9.6171875
"avignon",6,0,7.80392156862745
"avignon",6,1,9.47286821705426
"avignon",7,0,7.86274509803922
"avignon",7,1,9.04651162790698
"avignon",8,0,6.69230769230769
"avignon",8,1,9.30232558139535
"avignon",9,0,6.07843137254902
"avignon",9,1,9.234375
"avignon",10,0,6.55102040816327
"avignon",10,1,8.89230769230769
"avignon",11,0,6.68
"avignon",11,1,7.36153846153846
"avignon",12,0,6.17307692307692
"avignon",12,1,10.765625
